caller_phone_id,receiver_phone_id,timestamp,duration_seconds,case_id
PH008,PH010,2026-08-13T19:31:10.204116,3235,C010
PH004,PH014,2026-08-08T15:31:10.204116,3526,C010
PH016,PH008,2026-08-15T12:31:10.204116,3354,C006
PH015,PH012,2026-08-20T00:31:10.204116,3370,C002
PH008,PH009,2026-08-08T00:31:10.204116,2713,C010
PH007,PH014,2026-08-21T00:31:10.204116,1151,C004
PH003,PH010,2026-08-21T23:31:10.204116,2637,C005
PH017,PH013,2026-09-04T23:31:10.204116,3465,C007
PH018,PH011,2026-08-08T04:31:10.204116,482,C001
PH009,PH006,2026-08-31T18:31:10.204116,1097,C006
PH002,PH005,2026-09-01T10:31:10.204116,1789,C001
PH012,PH011,2026-08-25T14:31:10.204116,2493,C003
PH017,PH004,2026-08-23T10:31:10.204116,2371,C007
PH007,PH010,2026-08-08T21:31:10.204116,2913,C004
PH014,PH001,2026-08-29T04:31:10.204116,3313,C009
PH018,PH007,2026-08-22T12:31:10.204116,1776,C001
PH003,PH012,2026-09-02T14:31:10.204116,1295,C005
PH004,PH011,2026-08-28T15:31:10.204116,1276,C010
PH014,PH011,2026-08-24T04:31:10.204116,2865,C009
PH010,PH019,2026-08-12T10:31:10.204116,795,C009
PH014,PH013,2026-09-04T21:31:10.204116,3074,C009
PH006,PH020,2026-08-19T20:31:10.204116,1673,C003
PH018,PH001,2026-08-19T23:31:10.204116,1185,C001
PH007,PH015,2026-08-31T17:31:10.204116,2494,C004
PH011,PH016,2026-08-25T20:31:10.204116,1821,C001
PH007,PH018,2026-08-27T04:31:10.204116,3261,C004
PH006,PH003,2026-08-19T02:31:10.204116,2121,C003
PH020,PH011,2026-08-10T23:31:10.204116,3362,C005
PH008,PH011,2026-08-16T14:31:10.204116,3313,C010
PH007,PH005,2026-08-08T01:31:10.204116,199,C004
PH008,PH017,2026-09-02T01:31:10.204116,3490,C010
PH003,PH016,2026-08-24T16:31:10.204116,2589,C005
PH019,PH007,2026-08-23T09:31:10.204116,2034,C003
PH013,PH008,2026-08-13T07:31:10.204116,2697,C007
PH001,PH005,2026-08-25T03:31:10.204116,906,C006
PH006,PH018,2026-08-26T19:31:10.204116,215,C003
PH018,PH008,2026-08-12T04:31:10.204116,1879,C001
PH005,PH016,2026-09-04T11:31:10.204116,2185,C008
PH018,PH011,2026-08-25T21:31:10.204116,2519,C001
PH017,PH014,2026-08-30T09:31:10.204116,1836,C007
